solicitacao_bairro,processo_ocorrencia,confirmado,latitude,longitude,rain_hour,rain_day,altitude,ground_type,danger_level,flooding_risk,ground_amplitude,filtered_ocorrencia
83,9,0,-8.0389634,-34.8853533,0.0,0.0,7.0,7,1,0,0,0
86,9,0,-8.0467781,-34.958512,,,16.0,0,1,0,0,0
27,6,1,-8.0045673,-34.9366745,7.2,133.0,31.0,5,1,3,3,1
45,9,0,-8.1090664,-34.9524632,0.0,6.0,62.0,6,1,3,3,1
50,9,0,-8.0968437,-34.9148827,0.0,1.0,8.0,2,1,0,1,0
8,9,0,-8.0941474,-34.9284115,0.4,6.0,13.0,2,1,2,0,0
35,9,0,-8.0110993,-34.9585766,0.0,16.0,18.0,0,2,3,3,0
87,6,1,-7.9950047,-34.9151983,0.0,0.0,63.0,5,2,3,3,1
64,6,1,-8.0069178,-34.9273157,,,47.0,5,1,3,3,1
65,6,1,-7.9967245,-34.9374488,0.6,107.0,59.0,5,2,3,3,1
85,9,0,-8.080839,-34.9692702,0.0,0.7,26.0,6,1,3,2,0
10,14,0,-8.1062975,-34.9612457,4.9,80.2,49.0,6,2,3,3,0
82,9,0,-8.0460146,-34.9131078,0.0,0.0,14.0,1,1,0,0,0
64,1,0,-7.9999177,-34.9269306,18.8,153.0,66.0,5,2,3,3,0
31,6,1,-8.0917399,-34.9657259,0.0,0.6,53.0,7,3,3,4,1
45,9,0,-8.1243552,-34.9550156,0.3,26.0,57.0,4,2,3,3,0
2,1,0,-8.0155621,-34.8996436,0.0,28.0,36.0,0,2,3,3,0
45,9,0,-8.1106092,-34.9514063,0.0,40.2,82.0,6,0,3,3,0
17,6,1,-8.0142691,-34.9241833,10.2,146.0,72.0,0,2,3,3,1
64,6,1,-7.9993388,-34.9325296,1.6,84.0,43.0,5,1,3,3,1
12,9,0,-8.1155838,-34.8954739,0.0,0.0,10.0,2,1,0,0,0
45,1,0,-8.1216495,-34.9471521,0.0,2.7,73.0,4,1,3,3,0
45,1,0,-8.1109398,-34.9488294,0.0,11.1,66.0,4,2,3,3,0
86,9,0,-8.02377775,-34.96467022239024,0.3,5.1,52.0,4,2,3,3,0
36,1,0,-7.9920682,-34.9179686,0.0,0.0,24.0,5,1,3,3,0
